,Issue Id,Assignee_email,Reporter_email,Creation Date,Close Date,Estimated Time,Actual Time
3039,79198885,int_291,int_291,2021-02-16T14:44:18.431Z,2021-02-17T12:14:35.655Z,0,0.0
3040,79197504,int_165,int_165,2021-02-16T14:30:59.821Z,2021-02-21T09:45:28.065Z,3600,10800.0
3041,79197422,int_175,int_175,2021-02-16T14:30:22.073Z,2021-03-09T08:39:00.408Z,14400,23400.0
3042,79197105,int_338,int_468,2021-02-16T14:27:23.776Z,,0,0.0
3043,79196578,int_307,int_371,2021-02-16T14:22:06.059Z,2021-02-25T08:25:47.425Z,0,0.0
3044,79196576,int_291,int_291,2021-02-16T14:22:05.884Z,2021-02-16T16:36:59.583Z,0,0.0
3045,79196024,int_175,int_175,2021-02-16T14:14:20.316Z,2021-02-16T15:11:20.666Z,1800,1800.0
3046,79195541,int_46,int_338,2021-02-16T14:09:03.764Z,2021-02-21T09:28:41.146Z,7200,0.0
3047,79194985,int_361,int_37,2021-02-16T14:04:35.356Z,2021-03-24T12:08:18.539Z,43200,0.0
3048,79194634,int_291,int_291,2021-02-16T14:02:36.333Z,2021-02-17T12:14:43.798Z,0,0.0
3049,79193631,int_442,int_222,2021-02-16T13:53:38.852Z,2021-04-06T12:33:43.784Z,0,172800.0
3050,79192893,int_307,int_307,2021-02-16T13:46:23.643Z,2021-02-16T13:59:10.512Z,0,1800.0
3051,79192056,int_149,int_149,2021-02-16T13:36:17.659Z,2021-02-21T06:42:46.105Z,28800,28800.0
3052,79191745,int_340,int_386,2021-02-16T13:32:47.757Z,2021-02-16T15:20:06.868Z,28800,28800.0
3053,79191665,int_280,int_338,2021-02-16T13:31:43.899Z,2021-02-21T13:32:21.003Z,600,0.0
3054,79191175,,int_33,2021-02-16T13:26:37.799Z,,0,0.0
3055,79190918,int_209,int_91,2021-02-16T13:24:01.549Z,,0,0.0
3056,79189235,int_352,int_352,2021-02-16T13:03:36.284Z,2021-02-16T15:03:49.863Z,7200,3600.0
3057,79189229,int_464,int_382,2021-02-16T13:03:25.165Z,2021-02-23T12:01:23.430Z,0,0.0
3058,79189082,int_162,int_162,2021-02-16T13:01:18.386Z,2021-02-21T11:53:07.106Z,79200,39600.0
3059,79188088,int_380,int_380,2021-02-16T12:47:48.359Z,2021-02-17T07:25:02.526Z,3600,3600.0
3060,79187997,int_352,int_352,2021-02-16T12:47:11.055Z,2021-02-21T13:47:59.068Z,10800,7200.0
3061,79187242,,int_349,2021-02-16T12:37:11.362Z,2021-02-24T14:57:20.696Z,1200,0.0
3062,79186480,int_356,int_37,2021-02-16T12:24:49.105Z,2021-03-11T08:45:37.804Z,28800,57600.0
3063,79186170,,int_150,2021-02-16T12:19:21.327Z,2021-03-14T05:59:40.540Z,0,0.0
3064,79186154,int_462,int_462,2021-02-16T12:18:51.990Z,2021-02-28T08:06:40.615Z,1800,1800.0
3065,79187098,int_390,int_40,2021-02-16T12:17:12.066Z,2021-02-17T08:06:30.928Z,0,0.0
3066,79185985,int_464,int_382,2021-02-16T12:16:29.442Z,2021-02-22T15:04:32.140Z,0,0.0
3067,79185172,,int_150,2021-02-16T12:05:40.716Z,2021-03-22T10:17:10.387Z,0,0.0
