,date_time_utc,event_id,recipient_address,recipient_status,sender_address
5070,2021-02-23T15:41:44.6500000Z,RESUBMIT,int_5;int_5;int_2;,Message forked,int_54
5071,2021-02-10T07:56:06.1590000Z,AGENTINFO,ext_116;,,int_1
5072,2021-02-24T07:31:48.6840000Z,SUBMIT,ext_250;,,int_202
5073,2021-02-25T13:43:35.4030000Z,AGENTINFO,ext_55;,,int_1
5074,2021-02-24T14:24:09.0010000Z,DELIVER,int_70;,,int_1
5075,2021-02-04T15:01:05.6370000Z,RECIPIENTINFO,int_241;,UserMailbox.Forwardable.Resolver.CreateRecipientItems.40,int_71
5076,2021-02-14T06:49:09.1930000Z,AGENTINFO,int_33;,,int_1
5077,2021-02-24T13:27:50.6250000Z,RECEIVE,ext_249;ext_249;,,int_130
5078,2021-02-14T11:38:04.4250000Z,AGENTINFO,ext_117;,,int_1
5079,2021-02-02T00:34:11.3300000Z,RECIPIENTINFO,int_124;int_216;int_123;int_122;int_121;int_120;int_82;int_7;int_2;int_58;int_58;,'MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;MailUniversalDistributionGroup.UnifiedGroup.Resolver.CreateRecipientItems.70;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40;UserMailbox.Forwardable.Expansion.AddGroup.40',int_1
5080,2021-02-04T11:42:56.6130000Z,SENDEXTERNAL,ext_55;,250 2.1.5 Recipient OK,int_1
5081,2021-02-10T06:45:07.8000000Z,TRANSFER,int_5;int_5;,,int_1
5082,2021-02-04T11:42:54.9920000Z,SENDEXTERNAL,ext_55;,250 2.1.5 Recipient OK,int_1
5083,2021-02-14T12:12:26.3250000Z,AGENTINFO,ext_243;ext_117;ext_117;ext_243;,,int_79
5084,2021-02-10T08:09:04.8430000Z,AGENTINFO,ext_55;,,int_1
5085,2021-02-04T11:42:48.8810000Z,AGENTINFO,ext_55;,,int_1
5086,2021-02-10T05:28:22.7210000Z,SUBMIT,ext_232;,,int_132
5087,2021-02-04T11:42:48.2560000Z,RECEIVE,int_221;,,int_1
5088,2021-02-22T13:57:11.0010000Z,AGENTINFO,ext_128;int_153;ext_128;int_256;int_255;ext_128;,,int_254
5089,2021-02-04T11:42:54.2040000Z,SENDEXTERNAL,ext_55;,250 2.1.5 Recipient OK,int_1
5090,2021-02-24T08:19:11.6840000Z,AGENTINFO,ext_55;,,int_1
5091,2021-02-24T15:02:12.8750000Z,AGENTINFO,int_236;,,int_1
5092,2021-02-24T04:11:27.2480000Z,AGENTINFO,ext_252;,,int_90
5093,2021-02-14T07:35:03.5320000Z,RECEIVE,int_74;,,int_1
5094,2021-02-10T07:56:04.7510000Z,RECEIVE,ext_116;,Unknown,int_1
5095,2021-02-10T13:56:53.0160000Z,RECEIVE,int_31;,,int_71
5096,2021-02-04T11:37:08.7480000Z,AGENTINFO,int_33;,,int_1
5097,2021-02-03T16:21:13.0860000Z,TRANSFER,ext_257;ext_257;ext_257;ext_257;ext_257;,,int_147
5098,2021-02-14T06:47:05.8940000Z,AGENTINFO,int_8;int_7;int_2;,,int_1
5099,2021-02-14T06:24:18.7990000Z,CLIENTSUBMISSION,int_5;,,int_1
5100,2021-02-10T13:23:04.0710000Z,CLIENTSUBMISSION,int_134;,,int_1
5101,2021-02-10T12:01:03.6800000Z,CLIENTSUBMISSION,int_18;,,int_1
