num,Issue Id,Description,Assignee_Id,Assignee_email,Reporter_id,Reporter_email,Creation Date,Close Date,Estimated Time,Actual Time
1770,80413149,Statistical Reports - Monthly Reports: No Data displays when generating (OutwardSpecialCheques 4823) History Report.,3099895.0,NA,4056794,NA,2021-03-07T15:08:41.120Z,,0,0.0
1771,80413065,Verify: National ID caches in rejected cheques,6367608.0,NA,6367608,NA,2021-03-07T15:04:34.859Z,2021-03-08T15:02:41.732Z,3600,3600.0
1772,80721358,MT 103 creation/integration with the corespondent->the system does not map the intermediary BIC inside field 56A when achieving the second level of routing,,NA,4873084,NA,2021-03-07T14:58:29.938Z,2021-04-05T09:15:34.210Z,0,0.0
1773,80412893,add Inward STPG messages,,NA,3993694,int_155,2021-03-07T14:57:59.824Z,2021-03-08T11:01:24.414Z,0,0.0
1774,80412720,SIB :: Integration with IDAM :: Detailing of Error Messages,3127285.0,NA,3472215,NA,2021-03-07T14:50:17.457Z,2021-03-10T10:43:29.844Z,28800,7200.0
1775,80412703,Upgrade psys,3220138.0,NA,3918459,int_257,2021-03-07T14:49:30.631Z,2021-03-15T12:44:04.046Z,28800,0.0
1776,80412299,Override velocity implementation in JFW to format date,3596316.0,NA,3094005,int_518,2021-03-07T14:28:50.388Z,2021-03-08T08:57:45.479Z,10800,10800.0
1777,80412216,Adding Rejection Reason to Beneficiary Bank account workflow,3016026.0,NA,4162838,int_222,2021-03-07T14:24:05.069Z,2021-03-16T07:01:09.127Z,57600,57600.0
1778,80412183,receive incoming direct credit payment batch,3596321.0,int_468,3596325,int_39,2021-03-07T14:21:28.044Z,2021-03-14T10:37:36.129Z,57600,57600.0
1779,80411910,Implement Channel module,5361480.0,NA,6116805,NA,2021-03-07T14:09:20.859Z,2021-03-18T14:48:39.864Z,0,0.0
1780,80411660,upgrade psys,3220138.0,NA,3918459,int_257,2021-03-07T13:54:51.066Z,2021-03-15T14:21:37.736Z,28800,0.0
1781,80411622,Gitlab-exporter-script-upgrade,4308710.0,int_243,4308710,int_243,2021-03-07T13:50:34.991Z,2021-03-24T09:03:28.594Z,21600,0.0
1782,80411412,Inject the Corporate Inquiry By National Id plugin into zain core spring plugins,5163289.0,NA,2982345,int_510,2021-03-07T13:33:51.231Z,2021-03-09T12:16:22.100Z,0,0.0
1783,80411355,"Return reasons, currencies, urgencies and branches sync between the ECC & ONUS",3369011.0,NA,3369011,NA,2021-03-07T13:31:30.188Z,2021-03-28T07:32:05.087Z,900,900.0
1784,80411086,Chequebook request auto-rejection (Cutoff and EndOfWorkingDay) should consider the time based on it's approved from signatory,3918459.0,int_257,5062463,int_469,2021-03-07T13:19:11.532Z,2021-03-25T09:46:31.918Z,7200,7200.0
1785,80411082,Inject crm customer update plugin into zain core spring plugins,3918549.0,NA,2982345,int_510,2021-03-07T13:18:54.438Z,2021-03-23T07:36:39.802Z,0,0.0
1786,80721317,app param->needs to change converter.defaultCategoryPurpose name to be converter.defaultTransactionTypeCode,6116686.0,NA,4873084,NA,2021-03-07T13:16:44.996Z,2021-03-18T11:47:45.427Z,0,0.0
1787,80410695,ECC Integration Files Specifications-User Info and user role/group assignment logs,3087517.0,int_356,3596333,int_36,2021-03-07T12:58:57.898Z,,0,0.0
1788,80410410,add strict-transport-security,2846116.0,int_248,2846116,int_248,2021-03-07T12:46:42.438Z,2021-03-08T05:17:55.665Z,0,0.0
1789,80410250,Implement the Integration of Al-Bireh Municipality,4082583.0,int_237,6404834,NA,2021-03-07T12:39:09.607Z,2021-03-17T13:48:33.305Z,144000,129600.0
1790,80410017,Upgrade core version to v2.4.0,2958010.0,int_239,2958010,int_239,2021-03-07T12:29:27.639Z,2021-03-07T12:40:56.391Z,0,0.0
1791,80409982,Implementing Account Formater Service and use it in format account usecase,3612142.0,int_412,3612142,int_412,2021-03-07T12:28:30.794Z,2021-03-11T13:26:17.768Z,0,9000.0
1792,80409881,Decimals in inward camt052 view in UI,6116805.0,NA,6116805,NA,2021-03-07T12:24:10.008Z,2021-03-08T06:52:00.066Z,0,1800.0
1793,80721307,OMAN-inward return->the workflow status is being rejected after rejecting the submission from the checker user,6116686.0,NA,4873084,NA,2021-03-07T12:18:27.435Z,2021-03-17T09:17:22.527Z,0,0.0
1794,80534300,modify Duplication rule by adding new fields,,NA,2862200,int_28,2021-03-07T12:15:23.719Z,2021-03-14T13:44:40.192Z,0,0.0
1795,80409384,pending payments screen issues,,NA,2856038,int_474,2021-03-07T12:04:49.280Z,2021-03-14T09:08:03.115Z,2700,0.0
1796,80409262,unpaid bills noticication icon : the place of the curcel is invalid,3487589.0,NA,2856038,int_474,2021-03-07T12:00:49.257Z,2021-03-08T07:20:29.082Z,900,900.0
1797,80409224,Changing reports implementation,,NA,2927789,int_552,2021-03-07T11:58:59.572Z,,0,0.0
1798,80721246,inward returns->error occurred after clicking on rejectCBSPosting checker user action and CBS retry user action,6116686.0,NA,4873084,NA,2021-03-07T11:57:12.320Z,2021-03-17T09:04:23.979Z,0,0.0
1799,80409163,[JOCB-58][GOLIVE] Presentment,3099424.0,int_421,5113904,int_215,2021-03-07T11:56:29.749Z,2021-03-09T09:28:40.686Z,1800,0.0
1800,80409118,[JOCB-58][GOLIVE] Cheque Date Validation,3099424.0,int_421,5113904,int_215,2021-03-07T11:55:25.691Z,2021-03-09T10:52:58.621Z,900,0.0
1801,80408421,add to deployment an init container to update the database config for UAT,3232180.0,int_221,3232180,int_221,2021-03-07T11:26:56.947Z,,0,0.0
1802,80407971,fix workflow performance,3557511.0,NA,3557511,NA,2021-03-07T11:04:40.075Z,2021-03-14T05:19:19.737Z,0,0.0
1803,80407899,update reset,6156851.0,NA,6156851,NA,2021-03-07T11:01:31.810Z,2021-03-07T11:06:58.190Z,0,0.0
1804,80533782,inward return->the decision logs link is disabled for the inward returns original transaction while it have a decision logs link returned for the backend,,NA,4873084,NA,2021-03-07T10:53:13.891Z,2021-03-09T12:38:43.404Z,0,0.0
